size,N,D,E,seed,nv,solver,obj,makespan,feasible,violations,wall_clock_s,skipped,n_assignments,skip_reason
Medium,20,3,3,1234,1620,QA_neal,10028.0,28.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 4, 'C4_spillover': 6}",65.28474116325378,False,20.0,
Medium,20,3,3,1234,1620,SBM,10028.0,28.0,False,"{'C1_unassigned': 2, 'C1_double': 0, 'C2_overlap': 4, 'C4_spillover': 4}",0.80977463722229,False,18.0,
Medium,20,3,3,1234,1620,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Medium,20,3,3,100,1620,Greedy,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Medium,20,3,3,100,1620,GA,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.5403928756713867,False,20.0,
Medium,20,3,3,100,1620,SA,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.06385326385498047,False,20.0,
Medium,20,3,3,100,1620,TS,13.0,13.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.7405333518981934,False,20.0,
Medium,20,3,3,100,1620,QA_neal,13029.0,29.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 6, 'C4_spillover': 7}",65.91016030311584,False,20.0,
Medium,20,3,3,100,1620,SBM,11029.0,29.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 5, 'C4_spillover': 6}",0.7930545806884766,False,20.0,
Medium,20,3,3,100,1620,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Medium,20,3,3,200,1620,Greedy,14.0,14.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Medium,20,3,3,200,1620,GA,14.0,14.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.56103515625,False,20.0,
Medium,20,3,3,200,1620,SA,14.0,14.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.060028791427612305,False,20.0,
Medium,20,3,3,200,1620,TS,14.0,14.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.7443063259124756,False,20.0,
Medium,20,3,3,200,1620,QA_neal,20028.0,28.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 9, 'C4_spillover': 11}",65.71866774559021,False,20.0,
Medium,20,3,3,200,1620,SBM,19029.0,29.0,False,"{'C1_unassigned': 1, 'C1_double': 0, 'C2_overlap': 9, 'C4_spillover': 9}",0.7476263046264648,False,19.0,
Medium,20,3,3,200,1620,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Medium,20,3,5,42,2700,Greedy,8.0,8.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0,False,,
Medium,20,3,5,42,2700,GA,8.0,8.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.5969383716583252,False,20.0,
Medium,20,3,5,42,2700,SA,8.0,8.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.05300021171569824,False,20.0,
Medium,20,3,5,42,2700,TS,8.0,8.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.7203469276428223,False,20.0,
Medium,20,3,5,42,2700,QA_neal,17028.0,28.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 7, 'C4_spillover': 10}",148.1765170097351,False,20.0,
Medium,20,3,5,42,2700,SBM,21029.0,29.0,False,"{'C1_unassigned': 2, 'C1_double': 0, 'C2_overlap': 9, 'C4_spillover': 10}",2.3715596199035645,False,18.0,
Medium,20,3,5,42,2700,QAOA_p2,,,,,,True,,scheduling QUBO nv > 18 even at smallest instance; see E-Q1 V1 for QAOA scaling evaluation
Medium,20,3,5,7,2700,Greedy,8.0,8.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.0009999275207519531,False,,
Medium,20,3,5,7,2700,GA,8.0,8.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.5176601409912109,False,20.0,
Medium,20,3,5,7,2700,SA,8.0,8.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.05899858474731445,False,20.0,
Medium,20,3,5,7,2700,TS,8.0,8.0,True,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 0, 'C4_spillover': 0}",0.6704297065734863,False,20.0,
Medium,20,3,5,7,2700,QA_neal,14029.0,29.0,False,"{'C1_unassigned': 0, 'C1_double': 0, 'C2_overlap': 6, 'C4_spillover': 8}",149.09607338905334,False,20.0,
Medium,20,3,5,7,2700,SBM,21029.0,29.0,False,"{'C1_unassigned': 1, 'C1_double': 0, 'C2_overlap': 10, 'C4_spillover': 10}",2.3585939407348633,False,19.0,
